n;CORIS_Year;Text_genre;Text_genre_specific;Type;Cxn;Lemma_Base;Orthography;Syllables;SyllLength;MorphCat;Pos;Function;SemClass;ScalePoint_Base;Approximation_Output;Approximation_Output2;Occurrence
semi_113;CORIS1980_2000;NARRAT;NARRATTrRomanzi;semibuio ;semi;buio;bonded;bu-io;2;simple;adjective;attributive/appositive;perception;mimimum_standard;Proximative;Proximative;                         allo stesso vento . Punto punto punto punto punto . Con esacerbato amore . Bella fece cià² che aveva annunciato e dal fondo < semibuio > della cucina Luisa e Jonas assistettero a come gettava con ampi gesti pezzetti di carta al vento debole . Sta lanciando                              
semi_122;CORIS1980_2000;NARRAT;NARRATRomanzi;semibuia ;semi;buio;bonded;bu-io;2;simple;adjective;attributive/appositive;perception;mimimum_standard;Proximative;Proximative;"                              la cena . Tornai al mercato e mi rifornii di pane , di formaggi e di verdure ; andai in un vicolo dove in una bottega < semibuia > si vendeva del buon vino a prezzo modico . Mentre contrattavo e davo disposizioni perchà© mi portassero gli orci a casa ,                             "
semi_131;MONITOR2008_10;NARRAT;NARRAT;semibuia ;semi;buio;bonded;bu-io;2;simple;adjective;attributive/appositive;perception;mimimum_standard;Proximative;Proximative;"                           per andare al Mattutino , che si celebrava nella cappella ; poi correva alla prima lezione della giornata , in un ' aula < semibuia > . Tutte le lezioni si tenevano in francese , una lingua i cui rudimenti lui aveva appreso a Oxford , ma che adesso era                               "
semi_224;MONITOR2017_20;NARRAT;NARRAT;semibuia ;semi;buio;bonded;bu-io;2;simple;adjective;attributive/appositive;perception;mimimum_standard;Proximative;Proximative;                       pià¹ al sicuro . Prese a portare i tappi quasi tutto il tempo , fino_a quella volta prima_dell ' alba in una strada stretta e < semibuia > che un braccio sbucà² dal nulla serrandole il petto ( il calore di uno sconosciuto sulla schiena ) , e un altro braccio le                            
semi_259;MONITOR2008_10;NARRAT;NARRAT;semibuia ;semi;buio;bonded;bu-io;2;simple;adjective;attributive/appositive;perception;mimimum_standard;Proximative;Proximative;                                    leggermente . Una volta all ' interno , i due visitatori vennero scortati attraverso una sala da pranzo vuota e < semibuia > e poi lungo un corridoio . Â« Questo à¨ l ' appartamento privato del senatore Â» spiegà² Zachary sottovoce . Ron era molto                               
mezzo_29;CORIS1980_2000;NARRAT;NARRATRomanzi;mezzo cadere ;mezzo;caduto;debonded;ca-du-to;3;conv_Vpart;participle_adj;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                           di donne , di varia età  , attendevano sedute su degli sgabelli , presso gli ingressi delle baracche . Reggiseni di pizzo < mezzi caduti > , succinte minigonne e gambe in continuo fluttuare caratterizzavano quelle donne . Spostavano le gambe da                                            
semi_46;CORIS1980_2000;NARRAT;NARRATTrRomanzi;semicancellati ;semi;cancellato;bonded;can-cel-la-to;4;conv_Vpart;participle_adj;attributive/appositive;material;maximum_standard;Proximative;Proximative;                              giorni migliori erano state lasciate cadere in rovina . Wilbraham proseguà¬ aguzzando gli occhi per distinguere i nomi < semicancellati > accanto_ai cancelli , quando d ' un tratto udà¬ qualcosa che attirando la sua attenzione lo fece irrigidire . Era una                                 
mezzo_248;MONITOR2014_16;EPHEM;EPHEM;mezzo cancellato ;mezzo;cancellato;debonded;can-cel-la-to;4;conv_Vpart;participle_adj;predicative;material;maximum_standard;Attenuation;Attenuation_Extension;                         in discussione . Mi tornà² alla memoria un biglietto che don Mario m ' aveva consegnato in tempi ormai remoti e che era già  < mezzo cancellato > : Non si puà² mai affrontare alcuna situazione , persone comprese , senza usare l ' intelligenza . Occorre sempre capire                              
mezzo_260;CORIS1980_2000;NARRAT;NARRATRacconti;mezzo cancellare ;mezzo;cancellato;debonded;can-cel-la-to;4;conv_Vpart;participle_adj;attributive/appositive;material;maximum_standard;Attenuation;Attenuation_Extension;"                       messaggio di Garibaldi , che si conservava dal ' 60 sotto un vetro . "" Ai bravi cittadini di Vanagni "" , diceva il messaggio < mezzo cancellato > , "" un saluto di cuore di G . Garibaldi "" . Il segretario riapparve con una grossa cartella sulle braccia : Â« Ecco la                                "
semi_88;CORIS1980_2000;STAMPA;STAMPAQuotidiani;semicarbonizzato ;semi;carbonizzato;bonded;car-bo-niz-za-to;5;conv_Vpart;participle_adj;predicative_secundary;material;maximum_standard;Attenuation;Attenuation_Extension;                                    dell ' antincendio boschivo di Cafasse : il corpo di Agostino Giacometti , pensionato di 79 anni , era adagiato < semicarbonizzato > lungo il sentiero di un terreno di sua proprietà  vicino_alla Cà  Bianca nei boschi che sovrastano Cafasse . Rimangono da                              
semi_69;MONITOR2014_16;PRGAMM;PRGAMM;semicentrali ;semi;centrale;bonded;cen-tra-le;3;suff_N;adjective;attributive/appositive;spatial;maximum_standard;KinCategorization;KinCategorization;                                          disponibile su suolo pubblico e nelle strutture , nonchà© di evitare , con specifico riferimento alle zone < semicentrali > particolarmente appetibili in termini di sosta prolungata in alternativa ai parcheggi , che sia sottratta ulteriore                                  
semi_264;MONITOR2017_20;STAMPA;STAMPA;semi - centrale ;semi;centrale;hyphened;cen-tra-le;3;suff_N;adjective;attributive/appositive;spatial;maximum_standard;KinCategorization;KinCategorization;                             avere a 120?Â» . Con serafica ostinazione , la signora anziana che si sta facendo misurare la pressione in una farmacia < semi - centrale > di Milano chiede di meglio , come_se lo potesse acquistare al momento : 80-140 a lei non va bene . Guardi che non à¨ male perà²                        
semi_295;MONITOR2008_10;STAMPA;STAMPA;semicentrali ;semi;centrale;bonded;cen-tra-le;3;suff_N;adjective;attributive/appositive;spatial;maximum_standard;KinCategorization;KinCategorization;"                      sono le città  pià¹ care sia nelle zone centrali ( a Roma la media à¨ di 8000 euro al metro quadro , a Milano 7500 ) , sia nelle < semicentrali > : Venezia (6.300 euro mq ) , Milano (5.100 euro mq ) e Roma (4.800 euro mq ) ; per le zone periferiche , invece sono Venezia                         "
semi_67;CORIS1980_2000;NARRAT;NARRATRomanzi;semichiuso ;semi;chiuso;bonded;chiu-so;2;conv_Vpart;participle_adj;attributive/appositive;material;maximum_standard;Proximative;Proximative;                     , lo star bene à¨ quello che per me era lo star male . Le cose vanno cosà¬ , dissi io filosofeggiando dall ' amaca con gli occhi < semichiusi > contro il riverbero del sole . Dai due ciliegi ai quali l ' amaca era legata usciva il brusio continuo delle api e dei                               
semi_114;MONITOR2008_10;STAMPA;STAMPA;semi - chiuso ;semi;chiuso;hyphened;chiu-so;2;conv_Vpart;participle_adj;predicative;material;maximum_standard;Attenuation;Attenuation_Extension;                        , non rispetta le norme di sicurezza , puà² ospitare solo concerti ma non le Â« normali Â» serate da ballo . Risultato : pista < semi - chiusa > . Il comitato composto da Comune , vigili urbani , Asl , vigili del fuoco e sindacato dei gestori ha dimezzato l '                                   
semi_146;CORIS1980_2000;NARRAT;NARRATRomanzi;semichiuso ;semi;chiuso;bonded;chiu-so;2;conv_Vpart;participle_adj;attributive/appositive;material;maximum_standard;Attenuation;Attenuation_Extension;"                ? - . - Sà¬ ; non usate la forza : voglio Francesca viva - . 27 . L ' addio Il varco era là¬ , a pochi metri di distanza : un portale < semichiuso > , addossato al tratto di muro pià¹ lontano_dalla sede stradale . Un passaggio praticamente abbandonato , da quando                                    "
mezzo_73;MONITOR2011_13;NARRAT;NARRAT;mezzo chiuso ;mezzo;chiuso;debonded;chiu-so;2;conv_Vpart;participle_adj;attributive/appositive;material;maximum_standard;Proximative;Proximative;                         tutti per il signor Fleischman . Sbirciai indietro , verso il suo ufficio . Fleischman stava là¬ in piedi , dietro la porta < mezza chiusa > . Gradii il fatto che finalmente non stava pià¹ guardando nella camicetta di mia moglie . Adesso invece le fissava il                                 
mezzo_140;CORIS1980_2000;NARRAT;NARRATTrRacconti;mezzo chiuso ;mezzo;chiuso;debonded;chiu-so;2;conv_Vpart;participle_adj;attributive/appositive;material;maximum_standard;Proximative;Proximative;                            trapunte ripiegate con cura , gelatine e salsa di pomodoro , grandi zucche gialle e zucche giganti che , dai finestrini < mezzi chiusi > , sembravano tondi visi di bambini . Â« Oggi i tafani non sciamanoÂ» , disse mia madre . Aveva i bigodini nei capelli . Erano                          
mezzo_141;MONITOR2001_04;NARRAT;NARRAT;mezzo chiuso ;mezzo;chiuso;debonded;chiu-so;2;conv_Vpart;participle_adj;predicative;material;maximum_standard;Proximative;Proximative;                        ad assaggiare un vino vero , anzi andiamo a fare una verticale . Il locale à¨ dietro piazza san Silvestro , la saracinesca à¨ < mezza chiusa > , ma si capisce che non à¨ un ' enoteca , si tratta di un vero e proprio bar , entriamo e Giansante subito si siede a leggere la                      
mezzo_158;MONITOR2014_16;NARRAT;NARRAT;mezzo chiuso ;mezzo;chiuso;debonded;chiu-so;2;conv_Vpart;participle_adj;attributive/appositive;material;maximum_standard;Proximative;Proximative;                         Raso lo viene a sapere e gli dice che non à¨ pià¹ degno di essere suo allievo . Ma lei continua a guardarlo con quegli occhi < mezzi chiusi > , e gli domanda : Â« E una macchina ce l ' hai ? Â» . Sà¬ , porco zio , sà¬ ! La macchina ! La avvolge con un braccio e la porta fuori , si              
mezzo_262;MONITOR2014_16;NARRAT;NARRAT;mezzo chiuso ;mezzo;chiuso;debonded;chiu-so;2;conv_Vpart;participle_adj;predicative;material;maximum_standard;Proximative;Proximative;                     e allora lo spostava di qua e di là  sul termosifone , scuoteva la testa e piangeva . Vado verso la camera di Luca , la porta à¨ < mezza chiusa > e vorrei lasciarla cosà¬ , non voglio aprirla e guardare , voglio restare nel dubbio ancora un po ' . Prima_di trovare là¬                             
semi_74;MONITOR2005_07;NARRAT;NARRAT;semicingolato ;semi;cingolato;bonded;cin-go-la-to;4;conv_Vpart;adjective;nominal;material;non-scalar;Attenuation;Attenuation_Extension;                                del carro armato ruotà² verso_di loro . Grutas sventolà² la bandiera bianca e indicà² il simbolo della Croce Rossa sul < semicingolato > . Il carro armato si allontanà² . Un ultimo sguardo alla casa . Il maggiore era ancora vivo . Si aggrappà² alla gamba di                               
semi_148;CORIS1980_2000;STAMPA;STAMPAPeriodici;semi - clandestino ;semi;clandestino;hyphened;clan-de-sti-no;4;simple;adjective;attributive/appositive;social;non-scalar;Proximative;Proximative;                                      , Corte dei Conti , Comitato economico e sociale , Comitato delle regioni - oppure presso agenzie comunitarie < semi - clandestine > come l ' European Training foundation di Torino o l ' Ufficio per l ' armonizzazione del mercato interno di Alicante ,                               
semi_210;MONITOR2001_04;PRACC;PRACC;semiclandestini ;semi;clandestino;bonded;clan-de-sti-no;4;simple;adjective;attributive/appositive;social;non-scalar;Proximative;Proximative;"                         Bondy ( Zbynek Fier ) , Jana Cernà¡ ( la figlia di Milena Jesenskà¡ ) , Vladimir Boudnik o Ivan Jirous - Magor ; dai circoli < semiclandestini > dei surrealisti trapelarono prove dell ' attività  del gruppo vicino_a Vratislav Effenberger , e , soprattutto , dopo                                 "
semi_202;MONITOR2017_20;PRACC;PRACC;semicolti ;semi;colto;bonded;col-to;2;simple;adjective;nominal;spirit;relative_position;Attenuation;Attenuation_Extension;"                              . Solo_che un tempo le loro produzioni linguistiche non si vedevano cosà­ tanto . Quando incontravamo la scrittura dei < semicolti > in passato ? In pochi casi : le scritte sui muri , o nei bagni , o le liste della spesa ; io , nel corso degli anni , di queste                      "
mezzo_34;CORIS1980_2000;PRACC;PRACCRiviste;mezzo commutare ;mezzo;commutato;debonded;com-mu-ta-to;4;conv_Vpart;participle_adj;attributive/appositive;relational;non-scalar;Attenuation;Attenuation_Extension;                          bit classico vale sempre 0 o 1 . Un condensatore mezzo carico in un calcolatore tradizionale provoca errori , ma un qubit < mezzo commutato > apre la strada a calcoli di nuovo tipo . Leggere i bit scritti in un sistema quantistico à¨ un po ' come farli commutare . Si                         
semi_147;CORIS1980_2000;EPHEM;EPHEMOpuscoli;semiconduttore ;semi;conduttore;bonded;con-dut-to-re;4;suff_V;adjective;attributive/appositive;material;non-scalar;KinCategorization;KinCategorization;                                     strutturali e dinamiche delle superfici , dell ' assorbimento di molecole e nei processi crescita di materiali < semiconduttori > ad ampio gap per applicazioni optoelettroniche da svolgersi presso l ' UdR INFM di Modena . Requisiti : laurea in fisica                             
mezzo_161;MONITOR2005_07;PRACC;PRACC;mezzo confusionale ;mezzo;confusionale;debonded;con-fu-sio-na-le;5;suff_N;adjective;attributive/appositive;body;non-scalar;Attenuation;Attenuation_Extension;                          , aspettando la prosa nuova di là  da venire ? E ne abbiamo imbastita una pur che sia , mezza francese , mezza regionale , < mezza confusionale > , come tutte le cose messe su in fretta . I futuri vocabolaristi non la citeranno [...] ma gli scrittori che verranno                                
mezzo_209;MONITOR2005_07;NARRAT;NARRAT;mezzo congelato ;mezzo;congelato;debonded;con-ge-la-to;4;conv_Vpart;participle_adj;attributive/appositive;material;maximum_standard;Mitigation/Downtoner;Mitigation/Downtoner;                              , che da qualunque altra parte . Arrivare al Passo , tornare indietro o salvarsi in qualche modo , nelle vostre teste < mezze congelate > , erano solo pensieri anestetizzati , incapaci di gettare la luce adatta . Poi il vento si era abbassato , e i banchi di                             
semi_71;MONITOR2005_07;PRACC;PRACC;semicoperto ;semi;coperto;bonded;co-per-to;3;conv_Vpart;participle_adj;attributive/appositive;spatial;mimimum_standard;Attenuation;Attenuation_Extension;"                             di verità  . Lungo via Cavour , 200 metri a monte di via degli Annibaldi , si alza sulla sinistra un minaccioso palazzo < semicoperto > di rampicanti e con la facciata ornata da un balconcino . L ' edificio à¨ conosciuto come "" palazzetto dei Borgia "" . La sua                          "
semi_154;MONITOR2001_04;NARRAT;NARRAT;semicoperto ;semi;coperto;bonded;co-per-to;3;conv_Vpart;participle_adj;attributive/appositive;spatial;mimimum_standard;Attenuation;Attenuation_Extension;"                        con del rosmarino . Din ! suonà² il campanello , recandogli una commissione . Un collo efebico , su cui era avvitato un viso < semicoperto > da grossi occhiali da sole , si affaccià² dalla finestrella . La creatura gli chiese se fosse possibile , "" Bitte "" , avere                           "
semi_187;MONITOR2011_13;NARRAT;NARRAT;semicoperto ;semi;coperto;bonded;co-per-to;3;conv_Vpart;participle_adj;attributive/appositive;spatial;mimimum_standard;Attenuation;Attenuation_Extension;                                   passeggia fuori , leccandosi le labbra . La casetta sporca ha solo una fioca luce davanti_alla finestra centrale < semicoperta > dai rampicanti . La vecchia Honda à¨ ancora là¬ . Tomiamo indietro , facciamo mezzo giro intorno_all ' isolato e                                       
mezzo_9;CORIS1980_2000;NARRAT;NARRATRomanzi;mezzo coperta ;mezzo;coperto;debonded;co-per-to;3;conv_Vpart;participle_adj;predicative_secundary;spatial;mimimum_standard;Attenuation;Attenuation_Extension;                         infermiera ebbe un brivido di terrore , oppressa di nuovo dal passato , ma arrivà² Renee tutta infangata , rossa in volto , < mezza coperta > di neve , certamente non sarebbe diventata un ' insegnante accetta alla repubblica . Alice si rasserenà² perchà© nessuno                               
mezzo_147;MONITOR2017_20;NARRAT;NARRAT;mezzo coprire ;mezzo;coperto;debonded;co-per-to;3;conv_Vpart;participle_adj;attributive/appositive;spatial;mimimum_standard;Attenuation;Attenuation_Extension;                                      le prime frasi cordiali , ora anche io avrei voluto dire qualcosa , rispondere al saluto . Ma il braccialetto < mezzo coperto > dalla manica della giacca era quello che avevo restituito a mia zia e per la sorpresa non mi venne nemmeno ciao . Vittoria                           
mezzo_213;MONITOR2005_07;NARRAT;NARRAT;mezzo coprire ;mezzo;coperto;debonded;co-per-to;3;conv_Vpart;participle_adj;attributive/appositive;spatial;mimimum_standard;Attenuation;Attenuation_Extension;"                        vedi ? "" Era una bella foto , classico formato cabinet , con la cornice di plastica trasparente : contro un muro di mattoni < mezzo coperto > di rampicanti stava schierata una dozzina di persone . Al centro la sposa , bellissima davvero , con un vestito                                      "
mezzo_235;CORIS1980_2000;NARRAT;NARRATTrRacconti;mezzo coprire ;mezzo;coperto;debonded;co-per-to;3;conv_Vpart;participle_adj;attributive/appositive;spatial;mimimum_standard;Attenuation;Attenuation_Extension;                               sul camioncino mezzo rovesciato . Un poco oltre , mosche ronzavano , in tutta tranquillità  , non lontano_da un corpo < mezzo coperto > da un telo . I piedi si allungavano tesi nei sandali , sporchi di sangue già  secco . - àˆ morto ? - chiese Toi Pirico gettando                        
mezzo_273;CORIS1980_2000;NARRAT;NARRATRacconti;mezzo coprire ;mezzo;coperto;debonded;co-per-to;3;conv_Vpart;participle_adj;attributive/appositive;spatial;mimimum_standard;Attenuation;Attenuation_Extension;"                            come prima ! "" Ma Clodoveo non riconobbe l ' anello , e poi era un tipo schizzinoso . "" Guarda là  quel pezzo di metallo < mezzo coperto > di cacca ! - disse . Che schifo ! Preferirei morire , piuttosto che sporcarmi le dita a raccoglierlo ! "" . TUTTO E ' BENE QUEL                       "
semi_112;MONITOR2001_04;NARRAT;NARRAT;semi - cosciente ;semi;cosciente;hyphened;co-scien-te;3;simple;adjective;attributive/appositive;body;mimimum_standard;Attenuation;Attenuation_Extension;                         pazzo o un vagabondo per la periferia buia e puzzolente , non so nemmeno da quanto tempo stessi in quello stato di torpore < semi - cosciente > , ma giudicando dai nomi delle vie laterali che s ' infilavano nel viale dovevo camminare da almeno un paio d ' ore . Avevo                          
semi_238;CORIS1980_2000;PRACC;PRACCVolumi;semicosciente ;semi;cosciente;bonded;co-scien-te;3;simple;adjective;attributive/appositive;body;mimimum_standard;Attenuation;Attenuation_Extension;"                             di bosco , quando ne parlano le sognatrici , permettono di intuire cià² che à¨ silenziosamente maturato nella loronatura < semicosciente > , in attesa di essere colto da un "" tu "" , per essere consumato con lui in reciproca felicità  . 4.6 Il percorso della vita L '                       "
semi_20;CORIS1980_2000;STAMPA;STAMPAQuotidiani;semicrollato ;semi;crollato;bonded;crol-la-to;3;conv_Vpart;participle_adj;predicative;relational;maximum_standard;Proximative;Proximative;"                                 di un gruppo di pompieri di Napoli , tutto à¨ fatiscente , tutto disabitato : la chiesa à¨ puntellata , il campanile < semicrollato > ; attorno decine di case , spesso antiche , sono distrutte ; tipiche le crepe incrociate oppure il crollo dei tetti                                  "
semi_290;MONITOR2017_20;STAMPA;STAMPA;semicrudo ;semi;crudo;bonded;cru-do;2;simple;adjective;attributive/appositive;material;mimimum_standard;Proximative;Proximative;"                         un po ' per assaggiare . Lei infila due forchette fino_al fondo della pentola e mi ribalta sul piatto mezzo chilo di pasta < semicruda > , seppellendo inesorabilmente i miei sushi . "" Visto ? In Italia la pasta si mangia cosà¬ , non come voi che la riempite di                           "
semi_211;MONITOR2014_16;MISC;MISC;semidebole ;semi;debole;bonded;de-bo-le;3;simple;adjective;attributive/appositive;general;relative_position;Proximative;Proximative;                   , 4/Q E ' formato da quattro movimenti , o accenti , di 1/4 : Q Q Q Q uno in battere ( accento forte ) , uno in levare ( accento < semidebole > ) , uno in battere ( mezzoforte ) e uno in levare ( accento debole ) . 2/4 o 2/Q Due Quarti - E ' formato da due accenti /                           
semi_95;MONITOR2014_16;NARRAT;NARRAT;semidecollato ;semi;decollato;bonded;de-col-la-to;4;conv_Vpart;participle_adj;attributive/appositive;body;non-scalar;Similarity;Similarity;                    stata a Hogwarts . Controlli scarsi , eh ? E un sacco di ritratti . E di corridoi . E di fantasmi ! àˆ stato uno strano fantasma < semidecollato > a dirmi dove trovarti , non à¨ incredibile ? SCORPIUS Non sei mai stata a Hogwarts ? DELPHI Sono stata ... poco bene , da                             
semi_89;MONITOR2001_04;NARRAT;NARRAT;semideficienti ;semi;deficienti;bonded;de-fi-cien-ti;4;simple;adjective;nominal;body;mimimum_standard;Mitigation/Downtoner;Mitigation/Downtoner;                   - Ehi B . R . BABY RED - Ciao A . A . - Mi stavo chiedendo , ma à¨ possibile che in TV facciano sempre dei programmi di merda per < semideficienti > . B . R . - Fanno quello richiesto dalla maggioranza del pubblico . A . - E le pubblicità  e le promozioni ? Si rivolgono a chi                       
semi_273;CORIS1980_2000;PRACC;PRACCVolumi;semidefinitiva ;semi;definitivo;bonded;de-fi-ni-ti-va;5;suff_V;adjective;attributive/appositive;relational;maximum_standard;Proximative;Proximative;                                     delle immunoglobuline che dalla configurazione tipica della linea germinale passano alla configurazione genica < semidefinitiva > . Inoltre , nella singola cellula , interviene il fenomeno definito , esclusione allelica dei geni di derivazione                                    
semi_215;CORIS1980_2000;NARRAT;NARRATTrRacconti;semidelirante ;semi;delirante;bonded;de-li-ran-te;4;conv_Vprespart;adjective;predicative;body;maximum_standard;Proximative;Proximative;                           , a_causa_del volume occupato dalla Cadillac . Mi ci à¨ voluto poco ... cosà¬ poco . Il mio pensare era stanco , confuso e < semidelirante > , mentre pilotavo l ' escavatore verso il cantiere , passando direttamente sopra il tratto di strada in cui avevo                                    
mezzo_276;CORIS1980_2000;PRACC;PRACCVolumi;mezzo demente ;mezzo;demente;debonded;de-men-te;3;simple;adjective;attributive/appositive;body;non-scalar;Mitigation/Downtoner;Mitigation/Downtoner;                                 culturale dei vecchi e dei nuovi lettori . Sta rispondendo a questa domanda la definizione di un mercato drogato e < mezzo demente > , la proposta di libri - trend , di libriguida , atti a pescare il best - seller , anche_se l ' esca che si usa à¨ una bomba                          
mezzo_131;CORIS1980_2000;STAMPA;STAMPAQuotidiani;mezzo derelitta ;mezzo;derelitto;debonded;de-re-lit-to;4;conv_Vpart;adjective;attributive/appositive;general;maximum_standard;Mitigation/Downtoner;Mitigation/Downtoner;"                            sorteggio per questo secondo turno . Invece , ad ascoltare certi commenti , sembra che andiamo a incontrare una squadra < mezza derelitta > , come_se passare il turno , per noi , fosse una pura e semplice formalita "" . Il Vicenza , al secondo turno in Coppa delle                          "
semi_12;CORIS1980_2000;STAMPA;STAMPAQuotidiani;semideserti ;semi;deserto;bonded;de-ser-to;3;simple;adjective;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                              ospedali torinesi . Approfittando del viavai di parenti dei ricoverati nelle ore di visita e della calma nei corridoi < semideserti > per ferie durante il resto della giornata , alle Molinette , al Martini e al Mauriziano c ' à¨ stata un ' escalation di colpi                         
semi_29;CORIS1980_2000;MISC;MISCVolumi;semideserta ;semi;deserto;bonded;de-ser-to;3;simple;adjective;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                        gomma , facevano un rumore d ' inferno sull ' asfalto della larga via milanese . Avanzava in un silenzio irreale , la città  < semideserta > da mesi sembrava ora essersi completamente svuotata . I negozi erano chiusi , come la domenica - pensava il ragazzo - e                              
semi_36;CORIS1980_2000;STAMPA;STAMPAQuotidiani;semideserto ;semi;deserto;bonded;de-ser-to;3;simple;adjective;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                          , pià¹ che altro . Stasera la Lazio affronta il Panionios , già  travolto ad Atene ( 4-0 ) , in un Olimpico presumibilmente < semideserto > . Previsti non pià¹ di 10.000 spettatori , 3000 dei quali hanno acquistato il biglietto per avere in omaggio una schedina                             
semi_44;MONITOR2005_07;NARRAT;NARRAT;semideserta ;semi;deserto;bonded;de-ser-to;3;simple;adjective;predicative;spatial;maximum_standard;Proximative;Proximative;                         e fu vero . Quel macello ebbe dei barlumi di regole . Era un ' altra Venezia . Senza luci , raccolta . Al Lido la casa era < semideserta > , lo zio era ricoverato all ' ospedale al mare , gli inglesi avevano affondato il convoglio che comandava nel canale di                              
semi_70;CORIS1980_2000;NARRAT;NARRATRomanzi;semideserto ;semi;deserto;bonded;de-ser-to;3;simple;adjective;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                    i lembi del cappotto . Â« Marinoni , non avere paura , sono un amico . Â» Tre donnette che erano alle sue spalle su un corso Lodi < semideserto > schizzarono via , spaventate non so se da me o da lui . Rimanemmo soli su quell ' interminabile marciapiede di cui                                   
semi_92;MONITOR2005_07;NARRAT;NARRAT;semideserte ;semi;deserto;bonded;de-ser-to;3;simple;adjective;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                                       quella guidata dal comandante . Se qualcuno avesse voluto sparargli avrebbe potuto farlo fra quelle montagne < semideserte > o nella folla in cui ci perdemmo a Guantà  namo per ripararci da un acquazzone . Non dico che ne sarebbe uscito indenne ,                             
semi_172;MONITOR2005_07;NARRAT;NARRAT;semideserto ;semi;deserto;bonded;de-ser-to;3;simple;adjective;predicative;spatial;maximum_standard;Proximative;Proximative;                    un uomo d ' affari con due case e una BMW da quelle parti , il giorno della sua morte ? In quel momento lo squallido locale era < semideserto > : attraverso i vetri unti si intravedevano i pochi avventori , gente della zona e di una certa età  . Donne e uomini male in                          
semi_175;CORIS1980_2000;NARRAT;NARRATRomanzi;semideserto ;semi;deserto;bonded;de-ser-to;3;simple;adjective;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;"                         , pulsare , scaricare dentro_di me . Sesso , sà¬ , e non me ne vergogno . Quando l ' ho rivisto , tempo fa , in un discopub < semideserto > , era seduto con Elena a un tavolino ; avevano entrambi gli occhi persi nel vuoto e non si parlavano . Non credo mi abbia                            "
semi_194;CORIS1980_2000;NARRAT;NARRATVaria;semideserti ;semi;deserto;bonded;de-ser-to;3;simple;adjective;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                               dai pertugi geometrici delle carrozze tre o quattro facce depresse , afflitte dalla coatta permanenza su quei vagoni < semideserti > e cosà­ lontani dallo svago sacrosanto e comandato dalla supernaturale convenzione dei lavoratori . I due miserelli                                   
semi_217;MONITOR2014_16;STAMPA;STAMPA;semideserto ;semi;deserto;bonded;de-ser-to;3;simple;adjective;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                             , à¨ davvero troppo . 12 maggio 2014 Â© Riproduzione riservata Patrimonio I Bronzi di Riace , giganti solitari nel museo < semideserto > I capolavori non vengono all ' Expo ? E allora l ' Espresso à¨ andato a vederli a Reggio Calabria , al museo archeologico                             
semi_231;CORIS1980_2000;NARRAT;NARRATRomanzi;semideserto ;semi;deserto;bonded;de-ser-to;3;simple;adjective;predicative;spatial;maximum_standard;Proximative;Proximative;"                             finire in galera , si era fatto ritrarre accanto_alle celebrità  del suo "" magic moment "" . Il nuovo Magia era freddo e < semideserto > . Pareva la bara del vuoto , il monumento funebre del nulla che era stato . Â« Che allegriaÂ» commentà² Vergani . Â« Una volta                           "
semi_250;MONITOR2008_10;STAMPA;STAMPA;semideserta ;semi;deserto;bonded;de-ser-to;3;simple;adjective;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                          alba livida , fredda , terribile . I camion lasciano il carcere e attraversano una città  occupata , ferita dalla guerra e < semideserta > per fermarsi in via Ferrante Aporti . Il carico umano viene spinto a forza nelle viscere della stazione . Le urla , i                                
semi_257;MONITOR2014_16;NARRAT;NARRAT;semideserta ;semi;deserto;bonded;de-ser-to;3;simple;adjective;attributive/appositive;spatial;maximum_standard;Proximative;Proximative;                             nell ' afa micidiale della notte estiva . I suoi erano in vacanza in Tunisia . Michele e Clara in campeggio . La città  < semideserta > , la casa vuota . Di conseguenza nessuno poteva avere acceso il televisore al piano di sotto . Nessuno aveva rotto un                                
semi_285;CORIS1980_2000;STAMPA;STAMPAQuotidiani;semideserto ;semi;deserto;bonded;de-ser-to;3;simple;adjective;predicative_obj;spatial;maximum_standard;Proximative;Proximative;                             . Dagli armadi , invece , hanno rubato 13 orologi da taschino . Prima_di andarsene , indisturbati nel palazzo lasciato < semideserto > dai vacanzieri , si sono rubati anche tre orologi a pendolo . La sera qualcuno ha avvisato il proprietario : Torni subito                            
mezzo_56;MONITOR2005_07;STAMPA;STAMPA;mezzo devastare ;mezzo;devastato;debonded;de-va-sta-to;4;conv_Vpart;participle_adj;attributive/appositive;relational;mimimum_standard;Attenuation;Attenuation_Extension;                         su quel vasto foglio di acqua onice , con i tetti galleggianti che sbucano dalle superfici , il vasto crollo , gli edifici < mezzo devastati > dal vento , quella piccola figura ( sarà  riuscito a vedere chi fosse ? ) che guarda verso il cielo . Qualcosa rimarrà                                 
